_id,LOKASI,KAB_KOTA,PAGU
1,01 DKI JAKARTA,01 00 DKI JAKARTA,52049668124000
2,01 DKI JAKARTA,01 51 KOTA JAKARTA PUSAT,329474392308000
3,01 DKI JAKARTA,01 52 KOTA JAKARTA UTARA,4415607228000
4,01 DKI JAKARTA,01 53 KOTA JAKARTA BARAT,4997506878000
5,01 DKI JAKARTA,01 54 KOTA JAKARTA SELATAN,170023682638000
6,01 DKI JAKARTA,01 55 KOTA JAKARTA TIMUR,33760086083000
7,01 DKI JAKARTA,01 56 KEPULAUAN SERIBU,73399515000
8,01 DKI JAKARTA,01 99 INSTANSI PUSAT,723340864000
9,02 JAWA BARAT,02 00 JAWA BARAT,3316965552000
10,02 JAWA BARAT,02 05 KAB. BOGOR,4530368925000
11,02 JAWA BARAT,02 06 KAB. SUKABUMI,654219785000
12,02 JAWA BARAT,02 07 KAB. CIANJUR,822897121000
13,02 JAWA BARAT,02 08 KAB. BEKASI,1118292302000
14,02 JAWA BARAT,02 09 KAB. KARAWANG,958957501000
15,02 JAWA BARAT,02 10 KAB. PURWAKARTA,475019911000
16,02 JAWA BARAT,02 11 KAB. SUBANG,1613016887000
17,02 JAWA BARAT,02 12 KAB. BANDUNG,666551038000
18,02 JAWA BARAT,02 13 KAB. SUMEDANG,909102918000
19,02 JAWA BARAT,02 14 KAB. G A R U T,1084240460000
20,02 JAWA BARAT,02 15 KAB. TASIKMALAYA,815621765000
21,02 JAWA BARAT,02 16 KAB. CIAMIS,437835406000
22,02 JAWA BARAT,02 17 KAB. CIREBON,631240135000
23,02 JAWA BARAT,02 18 KAB. KUNINGAN,486514048000
24,02 JAWA BARAT,02 19 KAB. INDRAMAYU,583675098000
25,02 JAWA BARAT,02 20 KAB. MAJALENGKA,489362418000
26,02 JAWA BARAT,02 21 KAB. BANDUNG BARAT,705256185000
27,02 JAWA BARAT,02 22 KAB. PANGANDARAN,194128613000
28,02 JAWA BARAT,02 51 KOTA BANDUNG,19018705466000
29,02 JAWA BARAT,02 52 KOTA BOGOR,2189220628000
30,02 JAWA BARAT,02 53 KOTA SUKABUMI,462566004000
31,02 JAWA BARAT,02 54 KOTA CIREBON,2663450522000
32,02 JAWA BARAT,02 57 KOTA BEKASI,997389722000
33,02 JAWA BARAT,02 58 KOTA DEPOK,893547677000
34,02 JAWA BARAT,02 60 KOTA TASIKMALAYA,645294082000
35,02 JAWA BARAT,02 61 KOTA CIMAHI,1206307779000
36,02 JAWA BARAT,02 62 KOTA BANJAR,683344688000
37,03 JAWA TENGAH,03 00 JAWA TENGAH,3283793859000
38,03 JAWA TENGAH,03 01 KAB. SEMARANG,305265954000
39,03 JAWA TENGAH,03 02 KAB. KENDAL,314505153000
40,03 JAWA TENGAH,03 03 KAB. DEMAK,439093401000
41,03 JAWA TENGAH,03 04 KAB. GROBOGAN,569072220000
42,03 JAWA TENGAH,03 05 KAB. PEKALONGAN,314036360000
43,03 JAWA TENGAH,03 06 KAB. BATANG,327243819000
44,03 JAWA TENGAH,03 07 KAB. TEGAL,367701275000
45,03 JAWA TENGAH,03 08 KAB. BREBES,414799064000
46,03 JAWA TENGAH,03 09 KAB. PATI,561138708000
47,03 JAWA TENGAH,03 10 KAB. KUDUS,456933616000
48,03 JAWA TENGAH,03 11 KAB. PEMALANG,371919816000
49,03 JAWA TENGAH,03 12 KAB. JEPARA,405651725000
50,03 JAWA TENGAH,03 13 KAB. REMBANG,266244821000
51,03 JAWA TENGAH,03 14 KAB. BLORA,590460531000
52,03 JAWA TENGAH,03 15 KAB. BANYUMAS,2035882123000
53,03 JAWA TENGAH,03 16 KAB. CILACAP,885956225000
54,03 JAWA TENGAH,03 17 KAB. PURBALINGGA,402789192000
55,03 JAWA TENGAH,03 18 KAB. BANJARNEGARA,352128017000
56,03 JAWA TENGAH,03 19 KAB. MAGELANG,495501843000
57,03 JAWA TENGAH,03 20 KAB. TEMANGGUNG,346715103000
58,03 JAWA TENGAH,03 21 KAB. WONOSOBO,387936827000
59,03 JAWA TENGAH,03 22 KAB. PURWOREJO,312900125000
60,03 JAWA TENGAH,03 23 KAB. KEBUMEN,434005910000
61,03 JAWA TENGAH,03 24 KAB. KLATEN,874167732000
62,03 JAWA TENGAH,03 25 KAB. BOYOLALI,465449964000
