"golongan_pengeluaran","kelompok_barang","jumlah","periode_data"
"200 000","Makanan","kosong","2014"
"200 000","Bukan Makanan","kosong","2014"
"200 000 299 999","Makanan","158347","2014"
"200 000 299 999","Bukan Makanan","112317","2014"
"300 000 499 999","Makanan","234493","2014"
"300 000 499 999","Bukan Makanan","194068","2014"
"500 000-749 999","Makanan","374443","2014"
"500 000-749 999","Bukan Makanan","255256","2014"
"750 000 999 999","Makanan","436335","2014"
"750 000 999 999","Bukan Makanan","435470","2014"
"1 000 000 dan lebih","Makanan","779158","2014"
"1 000 000 dan lebih","Bukan Makanan","1634914","2014"
